item_idx,movie_id
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
32,34
33,35
34,36
35,38
36,39
37,40
38,41
39,42
40,43
41,44
42,45
43,46
44,47
45,48
46,49
47,50
48,52
49,54
50,55
51,57
52,58
53,60
54,61
55,62
56,63
57,64
58,65
59,66
60,68
61,69
62,70
63,71
64,72
65,73
66,74
67,75
68,76
69,77
70,78
71,79
72,80
73,81
74,82
75,83
76,84
77,85
78,86
79,87
80,88
81,89
82,92
83,93
84,94
85,95
86,96
87,97
88,99
89,100
90,101
91,102
92,103
93,104
94,105
95,106
96,107
97,110
98,111
99,112
100,113
101,114
102,116
103,117
104,118
105,119
106,121
107,122
108,123
109,124
110,125
111,126
112,128
113,129
114,131
115,132
116,135
117,137
118,140
119,141
120,144
121,145
122,146
123,147
124,148
125,149
126,150
127,151
128,152
129,153
130,154
131,155
132,156
133,157
134,158
135,159
136,160
137,161
138,162
139,163
140,164
141,165
142,166
143,168
144,169
145,170
146,171
147,172
148,173
149,174
150,175
151,176
152,177
153,178
154,179
155,180
156,181
157,182
158,183
159,184
160,185
161,186
162,187
163,188
164,189
165,190
166,191
167,193
168,194
169,195
170,196
171,197
172,198
173,199
174,200
175,201
176,202
177,203
178,204
179,205
180,206
181,207
182,208
183,209
184,210
185,211
186,212
187,213
188,214
189,215
190,216
191,217
192,218
193,219
194,220
195,222
196,223
197,224
198,225
199,227
200,228
201,229
202,230
203,231
204,232
205,233
206,234
207,235
208,236
209,237
210,238
211,239
212,240
213,241
214,242
215,243
216,244
217,246
218,247
219,248
220,249
221,250
222,251
223,252
224,253
225,254
226,255
227,256
228,257
229,258
230,259
231,260
232,261
233,262
234,263
235,265
236,266
237,267
238,268
239,269
240,270
241,271
242,272
243,273
244,274
245,275
246,276
247,277
248,278
249,279
250,280
251,281
252,282
253,283
254,287
255,288
256,289
257,290
258,291
259,292
260,293
261,294
262,295
263,296
264,297
265,298
266,299
267,300
268,301
269,302
270,303
271,304
272,305
273,306
274,307
275,308
276,309
277,312
278,313
279,314
280,315
281,316
282,317
283,318
284,319
285,320
286,321
287,322
288,324
289,325
290,326
291,327
292,328
293,329
294,330
295,331
296,332
297,333
298,334
299,335
300,336
301,337
302,338
303,339
304,340
305,341
306,342
307,343
308,344
309,345
310,346
311,347
312,348
313,349
314,350
315,351
316,352
317,353
318,354
319,355
320,356
321,357
322,358
323,359
324,360
325,361
326,362
327,363
328,364
329,365
330,366
331,367
332,368
333,369
334,370
335,371
336,372
337,373
338,374
339,375
340,376
341,377
342,378
343,379
344,380
345,381
346,382
347,383
348,384
349,385
350,386
351,387
352,388
353,389
354,390
355,391
356,392
357,393
358,394
359,397
360,405
361,407
362,408
363,409
364,410
365,411
366,412
367,413
368,414
369,415
370,416
371,417
372,418
373,419
374,420
375,421
376,422
377,423
378,424
379,425
380,426
381,427
382,428
383,429
384,430
385,431
386,432
387,433
388,434
389,435
390,436
391,437
392,438
393,440
394,441
395,442
396,443
397,444
398,445
399,446
400,447
401,448
402,449
403,450
404,451
405,452
406,453
407,454
408,455
409,456
410,457
411,458
412,459
413,460
414,461
415,462
416,463
417,464
418,465
419,466
420,467
421,468
422,469
423,470
424,471
425,472
426,473
427,474
428,475
429,476
430,477
431,478
432,479
433,480
434,481
435,482
436,483
437,484
438,485
439,486
440,487
441,488
442,489
443,490
444,491
445,492
446,493
447,494
448,495
449,496
450,497
451,498
452,499
453,500
454,501
455,502
456,503
457,504
458,505
459,506
460,507
461,508
462,509
463,510
464,511
465,512
466,513
467,514
468,515
469,516
470,517
471,518
472,519
473,520
474,521
475,522
476,523
477,524
478,525
479,527
480,528
481,529
482,531
483,532
484,533
485,534
486,535
487,536
488,537
489,538
490,539
491,540
492,541
493,542
494,543
495,544
496,546
497,547
498,548
499,549
500,550
501,551
502,552
503,553
504,554
505,555
506,556
507,558
508,561
509,562
510,563
511,564
512,565
513,566
514,567
515,568
516,569
517,570
518,571
519,573
520,574
521,575
522,577
523,580
524,581
525,583
526,585
527,586
528,587
529,588
530,589
531,590
532,592
533,593
534,594
535,595
536,596
537,597
538,599
539,600
540,602
541,603
542,605
543,606
544,608
545,609
546,610
547,611
548,612
549,613
550,615
551,616
552,617
553,619
554,621
555,626
556,627
557,628
558,631
559,632
560,633
561,635
562,637
563,638
564,639
565,640
566,645
567,647
568,648
569,649
570,650
571,653
572,656
573,659
574,661
575,662
576,663
577,665
578,667
579,668
580,669
581,670
582,671
583,673
584,674
585,678
586,680
587,681
588,685
589,688
590,691
591,692
592,694
593,695
594,697
595,700
596,702
597,704
598,705
599,707
600,708
601,709
602,710
603,711
604,714
605,715
606,716
607,718
608,719
609,720
610,722
611,724
612,725
613,728
614,731
615,733
616,735
617,736
618,737
619,741
620,742
621,743
622,745
623,746
624,747
625,748
626,750
627,751
628,753
629,754
630,759
631,760
632,761
633,762
634,764
635,765
636,766
637,767
638,769
639,771
640,778
641,779
642,780
643,781
644,782
645,783
646,784
647,785
648,786
649,788
650,798
651,799
652,800
653,801
654,802
655,803
656,804
657,805
658,806
659,807
660,808
661,809
662,810
663,813
664,818
665,824
666,828
667,829
668,830
669,831
670,832
671,833
672,835
673,836
674,837
675,838
676,839
677,840
678,841
679,842
680,846
681,848
682,849
683,850
684,851
685,852
686,858
687,860
688,861
689,862
690,863
691,864
692,866
693,867
694,869
695,870
696,875
697,876
698,877
699,879
700,880
701,881
702,882
703,885
704,886
705,888
706,891
707,892
708,893
709,896
710,897
711,898
712,899
713,900
714,901
715,902
716,903
717,904
718,905
719,906
720,907
721,908
722,909
723,910
724,911
725,912
726,913
727,914
728,915
729,916
730,917
731,918
732,919
733,920
734,921
735,922
736,923
737,924
738,925
739,926
740,927
741,928
742,929
743,930
744,931
745,932
746,933
747,934
748,935
749,936
750,937
751,938
752,939
753,940
754,941
755,942
756,943
757,944
758,945
759,946
760,947
761,948
762,949
763,950
764,951
765,952
766,953
767,954
768,955
769,956
770,957
771,958
772,959
773,960
774,961
775,962
776,963
777,964
778,965
779,967
780,968
781,969
782,970
783,971
784,973
785,974
786,976
787,978
788,982
789,984
790,986
791,987
792,988
793,990
794,991
795,992
796,994
797,996
798,997
799,998
800,999
801,1000
802,1003
803,1004
804,1005
805,1006
806,1007
807,1008
808,1009
809,1010
810,1011
811,1012
812,1013
813,1014
814,1015
815,1016
816,1017
817,1018
818,1019
819,1020
820,1021
821,1022
822,1023
823,1024
824,1025
825,1027
826,1028
827,1029
828,1030
829,1031
830,1032
831,1033
832,1034
833,1035
834,1036
835,1037
836,1038
837,1041
838,1042
839,1043
840,1044
841,1046
842,1047
843,1049
844,1050
845,1051
846,1053
847,1054
848,1055
849,1056
850,1057
851,1058
852,1059
853,1060
854,1061
855,1063
856,1064
857,1066
858,1067
859,1068
860,1069
861,1073
862,1076
863,1077
864,1078
865,1079
866,1080
867,1081
868,1082
869,1083
870,1084
871,1085
872,1086
873,1087
874,1088
875,1089
876,1090
877,1091
878,1092
879,1093
880,1094
881,1095
882,1096
883,1097
884,1099
885,1100
886,1101
887,1103
888,1104
889,1105
890,1111
891,1112
892,1113
893,1114
894,1116
895,1117
896,1119
897,1120
898,1121
899,1123
900,1124
901,1125
902,1126
903,1127
904,1128
905,1129
906,1130
907,1131
908,1132
909,1135
910,1136
911,1144
912,1147
913,1148
914,1150
915,1151
916,1152
917,1153
918,1154
919,1161
920,1162
921,1163
922,1167
923,1168
924,1169
925,1170
926,1171
927,1172
928,1173
929,1175
