user_idx,user_id
0,1
1,2
2,3
3,5
4,6
5,8
6,9
7,10
8,11
9,13
10,15
11,17
12,18
13,19
14,22
15,23
16,24
17,25
18,26
19,27
20,28
21,29
22,30
23,31
24,32
25,33
26,34
27,35
28,36
29,37
30,38
31,39
32,40
33,42
34,44
35,45
36,48
37,49
38,50
39,51
40,52
41,53
42,54
43,56
44,57
45,58
46,59
47,60
48,62
49,63
50,65
51,67
52,68
53,69
54,70
55,72
56,73
57,74
58,75
59,76
60,78
61,80
62,81
63,82
64,83
65,86
66,87
67,88
68,90
69,91
70,92
71,93
72,95
73,96
74,97
75,99
76,100
77,101
78,102
79,103
80,104
81,105
82,106
83,107
84,109
85,110
86,111
87,112
88,113
89,114
90,116
91,117
92,118
93,119
94,120
95,121
96,122
97,123
98,125
99,126
100,127
101,129
102,130
103,131
104,132
105,133
106,134
107,135
108,136
109,137
110,138
111,139
112,140
113,142
114,143
115,146
116,147
117,148
118,149
119,150
120,151
121,154
122,155
123,156
124,157
125,161
126,162
127,163
128,165
129,166
130,167
131,169
132,170
133,173
134,174
135,175
136,176
137,177
138,178
139,179
140,180
141,181
142,182
143,183
144,184
145,185
146,186
147,187
148,188
149,190
150,192
151,193
152,194
153,195
154,198
155,199
156,201
157,202
158,203
159,204
160,205
161,208
162,210
163,212
164,214
165,216
166,218
167,220
168,222
169,223
170,224
171,225
172,229
173,230
174,231
175,232
176,233
177,235
178,236
179,237
180,238
181,239
182,240
183,241
184,242
185,244
186,245
187,249
188,251
189,252
190,253
191,255
192,256
193,257
194,258
195,259
196,260
197,261
198,262
199,263
200,264
201,265
202,266
203,267
204,268
205,270
206,271
207,272
208,273
209,274
210,275
211,278
212,279
213,280
214,281
215,284
216,285
217,286
218,287
219,288
220,289
221,291
222,292
223,293
224,294
225,295
226,296
227,297
228,299
229,300
230,301
231,302
232,303
233,305
234,306
235,307
236,308
237,309
238,310
239,312
240,314
241,316
242,319
243,321
244,322
245,323
246,324
247,325
248,326
249,327
250,328
251,329
252,330
253,331
254,332
255,333
256,334
257,335
258,336
259,337
260,338
261,339
262,340
263,342
264,343
265,344
266,346
267,347
268,348
269,349
270,350
271,351
272,352
273,354
274,355
275,357
276,358
277,359
278,360
279,362
280,363
281,365
282,366
283,368
284,369
285,370
286,371
287,372
288,374
289,375
290,376
291,377
292,379
293,380
294,382
295,385
296,386
297,387
298,388
299,389
300,390
301,391
302,392
303,393
304,396
305,398
306,400
307,401
308,402
309,403
310,404
311,405
312,406
313,408
314,409
315,410
316,411
317,412
318,413
319,414
320,415
321,416
322,418
323,419
324,420
325,422
326,423
327,424
328,425
329,426
330,428
331,429
332,430
333,431
334,432
335,433
336,434
337,435
338,436
339,437
340,438
341,439
342,441
343,442
344,444
345,445
346,446
347,449
348,450
349,451
350,452
351,453
352,454
353,456
354,457
355,458
356,460
357,461
358,462
359,463
360,464
361,466
362,467
363,469
364,470
365,471
366,472
367,473
368,474
369,475
370,476
371,477
372,478
373,479
374,480
375,481
376,482
377,485
378,487
379,490
380,493
381,494
382,495
383,496
384,498
385,499
386,500
387,501
388,504
389,505
390,506
391,507
392,508
393,509
394,510
395,513
396,514
397,515
398,516
399,517
400,518
401,519
402,520
403,521
404,522
405,523
406,524
407,526
408,528
409,529
410,530
411,531
412,532
413,533
414,534
415,536
416,537
417,538
418,539
419,541
420,543
421,544
422,546
423,547
424,548
425,549
426,550
427,551
428,552
429,553
430,554
431,556
432,557
433,558
434,560
435,563
436,564
437,566
438,569
439,570
440,571
441,575
442,576
443,577
444,579
445,580
446,581
447,582
448,583
449,585
450,587
451,588
452,590
453,591
454,593
455,594
456,595
457,596
458,597
459,601
460,602
461,603
462,604
463,605
464,608
465,609
466,610
467,611
468,612
469,613
470,614
471,615
472,616
473,618
474,620
475,621
476,622
477,623
478,624
479,625
480,626
481,628
482,629
483,630
484,631
485,633
486,634
487,635
488,636
489,637
490,638
491,639
492,641
493,643
494,644
495,645
496,646
497,647
498,648
499,649
500,651
501,652
502,654
503,655
504,656
505,657
506,658
507,659
508,660
509,661
510,662
511,663
512,664
513,666
514,667
515,669
516,670
517,671
518,672
519,673
520,674
521,675
522,676
523,677
524,678
525,679
526,682
527,685
528,687
529,689
530,690
531,691
532,692
533,693
534,694
535,695
536,696
537,697
538,698
539,699
540,701
541,702
542,704
543,705
544,706
545,707
546,709
547,710
548,711
549,712
550,713
551,714
552,715
553,716
554,718
555,720
556,721
557,722
558,724
559,725
560,726
561,727
562,728
563,729
564,730
565,731
566,732
567,733
568,734
569,735
570,736
571,737
572,739
573,741
574,742
575,743
576,744
577,746
578,748
579,749
580,750
581,752
582,753
583,754
584,755
585,757
586,759
587,760
588,762
589,764
590,765
591,766
592,767
593,768
594,769
595,770
596,772
597,773
598,774
599,776
600,777
601,778
602,779
603,780
604,781
605,783
606,785
607,786
608,787
609,788
610,789
611,791
612,792
613,793
614,794
615,795
616,796
617,797
618,798
619,799
620,800
621,801
622,802
623,803
624,804
625,805
626,806
627,808
628,809
629,810
630,811
631,812
632,813
633,816
634,817
635,818
636,819
637,820
638,822
639,823
640,824
641,825
642,828
643,829
644,830
645,831
646,832
647,834
648,836
649,837
650,838
651,839
652,840
653,843
654,844
655,845
656,846
657,847
658,848
659,849
660,850
661,851
662,853
663,854
664,855
665,856
666,857
667,858
668,859
669,860
670,861
671,862
672,863
673,864
674,865
675,867
676,868
677,869
678,871
679,872
680,873
681,875
682,876
683,877
684,878
685,879
686,880
687,881
688,882
689,884
690,885
691,887
692,888
693,889
694,890
695,891
696,893
697,894
698,895
699,896
700,897
701,899
702,903
703,904
704,905
705,909
706,910
707,911
708,912
709,913
710,914
711,915
712,916
713,918
714,919
715,920
716,921
717,922
718,923
719,924
720,925
721,926
722,927
723,928
724,929
725,930
726,931
727,933
728,934
729,935
730,936
731,937
732,939
733,940
734,943
735,944
736,945
737,948
738,949
739,950
740,952
741,953
742,954
743,955
744,956
745,957
746,958
747,959
748,960
749,961
750,962
751,963
752,964
753,965
754,966
755,967
756,968
757,970
758,971
759,973
760,974
761,975
762,976
763,977
764,978
765,979
766,980
767,981
768,982
769,983
770,984
771,985
772,987
773,988
774,989
775,990
776,991
777,993
778,995
779,996
780,998
781,999
782,1000
783,1001
784,1002
785,1004
786,1005
787,1006
788,1008
789,1009
790,1010
791,1012
792,1013
793,1015
794,1016
795,1017
796,1018
797,1019
798,1020
799,1021
800,1022
801,1023
802,1024
803,1026
804,1027
805,1028
806,1029
807,1030
808,1031
809,1032
810,1033
811,1034
812,1035
813,1036
814,1038
815,1040
816,1041
817,1042
818,1044
819,1047
820,1048
821,1050
822,1051
823,1052
824,1053
825,1054
826,1055
827,1056
828,1057
829,1058
830,1059
831,1060
832,1061
833,1062
834,1063
835,1064
836,1065
837,1066
838,1067
839,1068
840,1069
841,1071
842,1072
843,1073
844,1074
845,1075
846,1076
847,1077
848,1078
849,1079
850,1080
851,1082
852,1084
853,1086
854,1087
855,1088
856,1089
857,1090
858,1092
859,1093
860,1094
861,1096
862,1097
863,1099
864,1100
865,1101
866,1103
867,1104
868,1105
869,1106
870,1107
871,1108
872,1109
873,1110
874,1112
875,1113
876,1114
877,1115
878,1116
879,1117
880,1119
881,1120
882,1121
883,1122
884,1124
885,1125
886,1127
887,1128
888,1129
889,1130
890,1131
891,1132
892,1133
893,1134
894,1135
895,1136
896,1137
897,1138
898,1139
899,1140
900,1141
901,1142
902,1143
903,1145
904,1146
905,1147
906,1148
907,1149
908,1150
909,1151
910,1152
911,1153
912,1155
913,1156
914,1158
915,1159
916,1160
917,1161
918,1162
919,1163
920,1164
921,1165
922,1167
923,1168
924,1169
925,1170
