group_id,group_type,method,score_source,aggregation,group_precision_10,group_recall_10,group_ndcg_10,mean_member_ndcg_10,mean_satisfaction,std_satisfaction,worst_member_satisfaction,jain_fairness,minority_cluster_satisfaction,minority_zero_satisfaction_rate,cluster_satisfaction_gap,zero_satisfaction_share,member_hit_share,intra_list_embedding_distance,cluster_entropy,avg_pairwise_embedding_distance,majority_cluster,minority_cluster,noise_share,lambda_std,alpha_minority
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_average,hybrid_mf_bayes,average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3113970160484314,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_dbscan_minority_nash,hybrid_mf_bayes,dbscan_minority_nash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3113970160484314,0.0,1.0551906824111938,,,0.0,,2.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_least_misery,hybrid_mf_bayes,least_misery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.2675175964832306,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_nash_welfare,hybrid_mf_bayes,nash_welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3113970160484314,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_tuned_fairness,hybrid_mf_bayes,tuned_fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3113970160484314,0.0,1.0551906824111938,,,0.0,0.0,
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.44303613901138306,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,mf_dbscan_minority_nash,mf,dbscan_minority_nash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3802932798862457,0.0,1.0551906824111938,,,0.0,,2.0
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.31450730562210083,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,mf_nash_welfare,mf,nash_welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3802932798862457,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,mf_tuned_fairness,mf,tuned_fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.44303613901138306,0.0,1.0551906824111938,,,0.0,0.0,
test_group_0001,homogeneous_cluster_0,rating_user_knn_average,rating_user_knn,average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5965964198112488,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,rating_user_knn_dbscan_minority_nash,rating_user_knn,dbscan_minority_nash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5965964198112488,0.0,1.0551906824111938,,,0.0,,2.0
test_group_0001,homogeneous_cluster_0,rating_user_knn_least_misery,rating_user_knn,least_misery,0.03333333333333333,0.05555555555555556,0.06362078819895171,0.04521732447748259,0.04521732447748259,0.0639469535302808,0.0,0.33333333333333337,,,0.0,0.6666666666666666,0.3333333333333333,0.5783455967903137,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,rating_user_knn_nash_welfare,rating_user_knn,nash_welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5965964198112488,0.0,1.0551906824111938,,,0.0,,
test_group_0001,homogeneous_cluster_0,rating_user_knn_tuned_fairness,rating_user_knn,tuned_fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5965964198112488,0.0,1.0551906824111938,,,0.0,0.0,
test_group_0002,homogeneous_cluster_0,hybrid_mf_bayes_average,hybrid_mf_bayes,average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3257260322570801,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,hybrid_mf_bayes_dbscan_minority_nash,hybrid_mf_bayes,dbscan_minority_nash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3257260322570801,0.0,0.7959306836128235,,,0.0,,2.0
test_group_0002,homogeneous_cluster_0,hybrid_mf_bayes_least_misery,hybrid_mf_bayes,least_misery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.29644080996513367,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,hybrid_mf_bayes_nash_welfare,hybrid_mf_bayes,nash_welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3257260322570801,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,hybrid_mf_bayes_tuned_fairness,hybrid_mf_bayes,tuned_fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3257260322570801,0.0,0.7959306836128235,,,0.0,0.0,
test_group_0002,homogeneous_cluster_0,mf_average,mf,average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.30588704347610474,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,mf_dbscan_minority_nash,mf,dbscan_minority_nash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3122348487377167,0.0,0.7959306836128235,,,0.0,,2.0
test_group_0002,homogeneous_cluster_0,mf_least_misery,mf,least_misery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.32731392979621887,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,mf_nash_welfare,mf,nash_welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.3122348487377167,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,mf_tuned_fairness,mf,tuned_fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.30588704347610474,0.0,0.7959306836128235,,,0.0,0.0,
test_group_0002,homogeneous_cluster_0,rating_user_knn_average,rating_user_knn,average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5256185531616211,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,rating_user_knn_dbscan_minority_nash,rating_user_knn,dbscan_minority_nash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5256185531616211,0.0,0.7959306836128235,,,0.0,,2.0
test_group_0002,homogeneous_cluster_0,rating_user_knn_least_misery,rating_user_knn,least_misery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.4957048296928406,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,rating_user_knn_nash_welfare,rating_user_knn,nash_welfare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5256185531616211,0.0,0.7959306836128235,,,0.0,,
test_group_0002,homogeneous_cluster_0,rating_user_knn_tuned_fairness,rating_user_knn,tuned_fairness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.5256185531616211,0.0,0.7959306836128235,,,0.0,0.0,
test_group_0003,homogeneous_cluster_0,hybrid_mf_bayes_average,hybrid_mf_bayes,average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.45128005743026733,0.0,0.8083946108818054,,,0.0,,
test_group_0003,homogeneous_cluster_0,hybrid_mf_bayes_dbscan_minority_nash,hybrid_mf_bayes,dbscan_minority_nash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.45128005743026733,0.0,0.8083946108818054,,,0.0,,2.0
