group_id,group_type,method,score_source,aggregation,user_idx,user_id,user_cluster,member_precision_10,member_recall_10,member_ndcg_10,member_hit_10,member_satisfaction
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_average,hybrid_mf_bayes,average,4411,5648,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_average,hybrid_mf_bayes,average,2090,2698,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_average,hybrid_mf_bayes,average,2795,3599,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_dbscan_minority_nash,hybrid_mf_bayes,dbscan_minority_nash,4411,5648,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_dbscan_minority_nash,hybrid_mf_bayes,dbscan_minority_nash,2090,2698,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_dbscan_minority_nash,hybrid_mf_bayes,dbscan_minority_nash,2795,3599,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_least_misery,hybrid_mf_bayes,least_misery,4411,5648,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_least_misery,hybrid_mf_bayes,least_misery,2090,2698,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_least_misery,hybrid_mf_bayes,least_misery,2795,3599,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_nash_welfare,hybrid_mf_bayes,nash_welfare,4411,5648,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_nash_welfare,hybrid_mf_bayes,nash_welfare,2090,2698,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_nash_welfare,hybrid_mf_bayes,nash_welfare,2795,3599,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_tuned_fairness,hybrid_mf_bayes,tuned_fairness,4411,5648,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_tuned_fairness,hybrid_mf_bayes,tuned_fairness,2090,2698,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,hybrid_mf_bayes_tuned_fairness,hybrid_mf_bayes,tuned_fairness,2795,3599,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,4411,5648,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,2090,2698,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,mf_average,mf,average,2795,3599,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,mf_dbscan_minority_nash,mf,dbscan_minority_nash,4411,5648,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,mf_dbscan_minority_nash,mf,dbscan_minority_nash,2090,2698,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,mf_dbscan_minority_nash,mf,dbscan_minority_nash,2795,3599,0,0.0,0.0,0.0,0.0,0.0
test_group_0001,homogeneous_cluster_0,mf_least_misery,mf,least_misery,4411,5648,0,0.0,0.0,0.0,0.0,0.0
